Breed,Age,Color,Sex,Class
,Infant - Younger than 6 months,MALE,GRAY TIGER,Other
ENG TOY SPANIEL - PUG,Older than 1 year,MALE,BROWN,Home
,Older than 1 year,MALE,GRAY,Euthanized
,,MALE,UNKNOWN,Other
,Older than 1 year,FEMALE,WHITE,Other
,,MALE,BLACK,Euthanized
,Older than 1 year,MALE,BLACK,Euthanized
GERM SHEPHERD - MIX,Older than 1 year,MALE,BROWN,Home
,Infant - Younger than 6 months,FEMALE,TORTIE,Euthanized
BORDER COLLIE - LABRADOR RETR,Older than 1 year,MALE,BLACK,Other
,,UNKNOWN,BLACK,Euthanized
,,FEMALE,YELLOW,Other
,Infant - Younger than 6 months,MALE,BLACK,Other
,,FEMALE,BRN TABBY,Euthanized
,,UNKNOWN,BLK TABBY,Euthanized
,,UNKNOWN,GRAY TIGER,Euthanized
,Older than 7 years,MALE,BLACK,Euthanized
,,UNKNOWN,GRAY TIGER,Euthanized
,Older than 1 year,MALE,BLACK,Home
,Infant - Younger than 6 months,FEMALE,CREAM,Other
,Older than 1 year,MALE,TAN,Other
,,MALE,BLACK,Other
,Older than 7 years,MALE,BLACK,Euthanized
,,UNKNOWN,GRAY,Euthanized
PIT BULL - LABRADOR RETR,,FEMALE,BL BRINDLE,Euthanized
,Older than 1 year,MALE,WHITE,Home
,,FEMALE,GRAY TABBY,Euthanized
,,MALE,WHITE,Other
,Older than 7 years,MALE,TRICOLOR,Home
GERM SHEPHERD - MIX,Older than 1 year,FEMALE,BROWN,Euthanized
,Older than 1 year,MALE,WHITE,Home
,Infant - Younger than 6 months,MALE,BLACK,Home
,Youth - Younger than 1 year,FEMALE,BLACK,Other
SCHNAUZER MIN - MIX,Older than 1 year,MALE,BLACK,Home
,,UNKNOWN,BLACK,Other
,Infant - Younger than 6 months,UNKNOWN,BLK TABBY,Euthanized
,Infant - Younger than 6 months,MALE,GRAY TABBY,Home
,Older than 1 year,FEMALE,WHITE,Home
,Older than 1 year,FEMALE,TAN,Home
,Older than 7 years,FEMALE,WHITE,Euthanized
,Older than 7 years,MALE,BLACK,Home
,Older than 1 year,FEMALE,BROWN,Home
GERM SHEPHERD - MIX,Older than 1 year,MALE,BLACK,Home
,Infant - Younger than 6 months,FEMALE,BLACK,Other
,Infant - Younger than 6 months,FEMALE,BLACK,Home
,,MALE,ORG TABBY,Euthanized
,,FEMALE,TORTIE,Euthanized
,Infant - Younger than 6 months,MALE,BLACK,Home
,Infant - Younger than 6 months,FEMALE,CREAM,Home
,Older than 7 years,FEMALE,BROWN,Other
,Older than 1 year,MALE,RED,Other
ENG FOXHOUND - GERM SHEPHERD,Older than 1 year,MALE,BROWN,Home
,Older than 7 years,MALE,RED,Home
,,MALE,WHITE,Euthanized
,Older than 1 year,FEMALE,BR BRINDLE,Other
,,FEMALE,BLACK,Euthanized
